artist_name,track_name,track_uri,acousticness,danceability,energy,valence,instrumentalness,key,mode,liveness,speechiness,time_signature,tempo,loudness,lyrics
Chalee Tennison,under your skin,3VrgNVmJsazn3rgK9o4FtY,0.529,0.595,0.6890000000000001,0.467,0.0,11.0,1.0,0.08199999999999999,0.0333,4.0,114.638,-7.472,watch adoration smile light easy hand pull crystal moment life feel feel touch touch love love breathe breath closer heart skin hesitation wrap emotion deep true feel feel touch touch love love breathe breath closer heart skin
Adam Green,computer show,6eRSi4K01boBv99QydhDlM,0.495,0.478,0.371,0.285,1.01e-06,8.0,1.0,0.155,0.197,4.0,76.939,-9.892,stumble wide eyed passport snow snow follow follow follow follow store follow follow follow follow stumbled wide eyed passport snow snow follow follow follow follow store follow follow follow follow catch eye eye deep crowd hang hook asshole mouth asshole mouth follow follow follow follow store follow follow follow follow stumbled wide eyed passport snow snow snow read magazine stand
Converge,my great devastator,472DyaOUPF3qiLj202pWAL,0.00172,0.321,0.974,0.109,9.2e-06,5.0,0.0,0.647,0.155,4.0,132.10299999999998,-4.038,lay finished write leave light dead write countless letter send easy silence loud speak effortlessly word syllable crush instant depart chance chapter fable rope short day ghost leave heart unbroken devastator depart chance chapter fable leave light devastator
Bad Company,the way that it goes,2wOVsUeXKM7OyS9MgG2XhP,0.0197,0.537,0.6459999999999999,0.8140000000000001,0.0026100000000000003,9.0,1.0,0.0879,0.0314,4.0,98.199,-12.457,wait perfect woman rescue touch speak woo yeah win lose dreamin bout shevy dry red gleam chrome save money beat wagon ooh walk life luck draw card luck hard girl endless highway american dream girl yeah life luck draw card luck hard life luck draw card luck hard
DMX,party up,2jkl8tD2kQZGr0UggcoeUh,0.0798,0.488,0.954,0.596,0.0,11.0,1.0,0.163,0.326,4.0,202.535,-1.584,gon lose mind gon gon fool gon lose cool gotsta bring coward gon quick aight jail suck dick cat dumb quick fuck gon cross dog bum shit aight gun shit dumb shit shit niggas remind strip club everytime dick suck fuck talkin aight slim watch gon bury love issue sayin shit nigga diss layin lookin roof church preacher tellin truth hurt gon lose mind gon gon fool gon lose cool chain leave niggas soft brain niggas fame rap fuckin strong puffin superman kryptonite smack dick mic niggas character actor gon outcome hmm add factor wack twist girl break kid rybody stupid love baby mother tired weak ass niggas whinin puss belong fuck wrong fuck real niggas strength hand gon lose mind gon gon fool gon lose cool bring rain heavy curse head talkin dirt walin tryin red fed dead soft type nigga fake north type nigga puss soft white nigga dog dog blood water mud quicker slaughter gun bring rybody sun sun mma gun nigga runnin mouth mma blow lung listen ass missin gon fishin grandma wishin soul rest hard digest size hole chest gon lose mind gon gon fool gon lose cool meet meet meet ruff ryder gon meet meet meet baller gon meet meet meet fly lady gon meet meet meet street street people meet meet motherfucker bouncin bouncin bounce bouncin dark bouncin bouncin bounce bouncin swizz beatz bouncin bouncin bounce bouncin ruff ryder bouncin bouncin bounce bouncin dark bouncin bouncin bounce bouncin dark bouncin bouncin bounce bouncin street bouncin bouncin bouncin swizz swizz beatz bouncin bouncin bouncin double comin nothin nothin
Finley Quaye,i need a lover,35ES5i2PBk4U4qRJCj7vEN,0.851,0.429,0.462,0.461,0.285,11.0,1.0,0.14400000000000002,0.0791,1.0,115.932,-11.368,feel fine feel feel hot yeah yeah yeah touch feel yeah fine wild lover float air feel fine loose yeah yeah yeah lover feel fine feel feel hot yeah yeah yeah touch hmm float air air air air feel yeah fine wild lover hmm float air feel fine loose yeah yeah yeah lover hmm hmm
City and Colour,mizzy c,2euuFBAtTY1uiPiS3hUDXH,0.0122,0.474,0.679,0.66,1.15e-06,4.0,1.0,0.0969,0.0306,4.0,80.098,-4.829,sacrament story youth conversation bore struggle rhythm blue live focus bearing life lie change direction bitter disposition surely ooh gift persistence curse unravel distance hear dirge trace time strange mad idea change direction bitter disposition surely ooh wan change direction change direction bitter disposition surely change direction bitter disposition surely ooh ooh ooh
Frank Black,adda lee,49aKfB53D9tiJomuNCu3ub,0.000381,0.583,0.807,0.961,0.547,9.0,1.0,0.115,0.0258,4.0,99.962,-5.858,wishbone break yeah adda lee lake sings dog quiet adda lee adda lee adda wave adda wave heroine star adda lee adda lee whisper leave adda lee adda lee adda lee
Dreamshade,sleep alone,4mSKvdAViOP6FiJJIyvyke,7.859999999999999e-05,0.606,0.965,0.172,0.00566,2.0,0.0,0.105,0.0734,4.0,120.04,-4.763,island reason wait time love fly broken wing girl eye lose wait win return hate sleep draw promise return leave hard yeah bring hate sleep unreliable bastard fuckup core trust love receive lot girl eye lose wait win return hate sleep
F-Minus,food not god,17JvWpZQTOcGnoLPpZQXqq,5.09e-06,0.289,0.986,0.6609999999999999,0.843,9.0,0.0,0.877,0.0945,4.0,103.11,-6.405,day trample foot weed discord disease brick window care step wait exile market street push shove rat race safe suffering ignore weak poor violent opposition door
Frank Turner,recovery,1QkxWbFuVsb4E0HKXhbuJQ,0.0489,0.513,0.847,0.831,0.0,9.0,1.0,0.0891,0.0506,4.0,156.028,-4.262,black strange flat east london set life head questionable direction day stranger remember sound road recovery light road recovery wake morning day boring blue song swallow pain fumble figure darkness lie fault pound floor crawl wall divvye darkness serotonin booster cider smell salt road recovery light road recovery night meet darle deal meet jail story stick southern comfort hear truth yea send letter lose close eye catch time idea darle sink lose lose hope drag recovery sign subtle glimmer suggestion stand strong walk tall time cynical convince yea broken people hope survive road recovery light road recovery darling sweet lover win recover darle sweet lover win recover darle sweet lover win recover darle sweet lover day
Brandyn Hazelton,thousand isles (feat. chase northup),1sCVmThtCAZGMYVNLMXOIm,0.00397,0.244,0.428,0.135,0.00114,7.0,1.0,0.115,0.0296,3.0,147.938,-8.481,isle lose stay isle feel cold feel bring life bloodshot eye isle time hold endless fate body ache endless feel cold feel bring life bloodshot eye street fight heart endless tear feel cold feel bring life bloodshot eye feel cold feel bring life bloodshot eye
Chromeo,come alive (feat. toro y moi),4rh7wySe2iEyEDEEzstKkt,0.225,0.845,0.746,0.961,8.8e-05,5.0,0.0,0.0785,0.0383,4.0,129.97,-5.655,boss wake slumber slow lot skip town weekend discover lot alive girl lose mind alive pressure overtime alive girl lose mind alive pressure overtime double life phase tread time pass understand figure swimming start sink leave alive girl lose mind alive pressure overtime alive girl lose mind alive pressure overtime night shift day shift win shit love kitchen floor real feel matter walk door alive girl lose mind alive pressure overtime alive girl lose mind alive pressure overtime alive alive realize
E-Type,olympia,6dIevytgOEVS7FgRr5pZGv,0.00242,0.521,0.955,0.477,0.0,0.0,1.0,0.306,0.0351,4.0,139.037,-5.086,time head future set sail start bring time gear gon fight fear time true gold bring olympia gold glory olympia win watch time stand power leave gon stay time gear gon fight fear time true gold bring olympia gold glory olympia gold time gon change fear time head future set sail stand power leave olympia time true gold bring olympia gold glory olympia
Bebel Gilberto,close your eyes,1exhVLjO1Cnjfh2WtZaK03,0.0527,0.68,0.765,0.629,0.0139,5.0,1.0,0.113,0.0488,4.0,104.021,-9.058,feel breeze patience lifetime dance tree rhythm mind gently touch skin float carry close eye penso vocãª sinto gosto mar grã areia rolar vou rodar mundo mas aqui meu lugar vou rodar mundo mas aqui meu lugar close eye day leave start feel megabyte memory heart disappear wake pain fear simple close eye
Chaka Khan,love with no strings,2AwhA6QUn2BBqZndfPTD8y,0.18,0.626,0.7020000000000001,0.631,5.62e-06,7.0,0.0,0.106,0.035,4.0,138.019,-8.244,explain feel sweetest pain break tension feel ordinary woman fall ordinary heart love love string heart story deny love string conductor play situation fool millionaire win tie love affection share time hold hand ordinary woman ordinary
Alcatrazz,suffer me - live,0mMIA8GSgOLcnYKitrvLFU,0.00613,0.398,0.779,0.16699999999999998,0.000298,3.0,0.0,0.792,0.0377,4.0,115.923,-5.28,cold december day strange suffer suffer ooo suffer suffer touch feel heart suffer suffer suffer suffer suffer suffer suffer oa
