id,title,song_count,slug
9072,"Tommy Steiner",7,tommy-steiner
9073,"Ton Steine Scherben (rio Reiser)",1,ton-steine-scherben-rio-reiser
9074,"Tone Band",1,tone-band
9075,"Tone Loc",2,tone-loc
9076,"Tones On Tail",1,tones-on-tail
9077,Toni,1,toni
9078,"Toni Basil",1,toni-basil
9079,"Toni Braxton",56,toni-braxton
9080,"Toni Childs",2,toni-childs
9081,Tonic,14,tonic
9082,Tony,6,tony
9083,"Tony Carey",3,tony-carey
9084,"Tony Christie",6,tony-christie
9085,"Tony Cottura",3,tony-cottura
9086,"Tony Esperanto",1,tony-esperanto
9087,"Tony Holiday",7,tony-holiday
9088,"Tony Marshall",17,tony-marshall
9089,"Tony Marshall And Roberto Blanco",1,tony-marshall-and-roberto-blanco
9090,"Tony Renis",1,tony-renis
9091,"Tony Rich Project",5,tony-rich-project
9092,"Tony Weller And The Serenaders",1,tony-weller-and-the-serenaders
9094,"Too Many Cooks",11,too-many-cooks
9095,"Too Much Joy",10,too-much-joy
9096,"Too Short",10,too-short
9097,Tool,54,tool
9098,"Top Carrots",6,top-carrots
9099,Topas,2,topas
9100,Toploader,12,toploader
9101,"Toposun Oglu",1,toposun-oglu
9102,Tops,3,tops
9103,Torch,1,torch
9104,Torfrock,1,torfrock
9105,"Tori Amos",103,tori-amos
9106,"Toronto Rhythmaires",1,toronto-rhythmaires
9107,"Torroja Ana",5,torroja-ana
9108,"Torsten Qualmann",2,torsten-qualmann
9109,Total,5,total
9110,"Total Chaos",24,total-chaos
9111,"Total Feat. Black Rob",1,total-feat-black-rob
9112,"Total Touch",14,total-touch
9113,"Toten Hosen",37,toten-hosen
9114,Totenmond,10,totenmond
9115,Toto,51,toto
9116,"Toto Cotugno",2,toto-cotugno
9117,"Toucan Jamme",2,toucan-jamme
9118,"Touch And Go",1,touch-and-go
9119,Touch&#233;,5,touch-233
9120,Tourists,6,tourists
9121,"Tovey Frank",8,tovey-frank
9122,"Tower Of Power",3,tower-of-power
9123,"Town Pants",6,town-pants
9124,"Townes Van Zandt",1,townes-van-zandt
9125,"Townshend Pete",20,townshend-pete
9126,Toxoplasma,39,toxoplasma
9127,"Toy Box",1,toy-box
9128,"Toy Dolls",35,toy-dolls
9129,"Toy Subs",15,toy-subs
9130,Toya,14,toya
9131,Toyah,40,toyah
9132,Toybox,1,toybox
9133,Toys,1,toys
9134,"Tozzi Umberto",1,tozzi-umberto
9135,"Tozzy And Raff",1,tozzy-and-raff
9136,T'pau,1,t-pau-2
9137,Tq,23,tq
9138,"Trace Adkins",2,trace-adkins
9139,"Tracey Ullman",3,tracey-ullman
9140,"Tracie Spencer",1,tracie-spencer
9141,"Tracy Bonham",1,tracy-bonham
9142,"Tracy Byrd",2,tracy-byrd
9143,"Tracy Chapman",79,tracy-chapman
9144,"Tracy Lawrence",4,tracy-lawrence
9145,Trad.,1,trad
9146,Trademark,23,trademark
9147,Traditional,228,traditional
9148,Traffic,29,traffic
9149,"Trail Of Tears",10,trail-of-tears
9150,Train,25,train
9151,Tramonto,1,tramonto
9152,"Trans Atlantic Crush",7,trans-atlantic-crush
9153,"Trans X",3,trans-x
9154,Transister,8,transister
9155,Translucent,1,translucent
9156,Transmetal,10,transmetal
9157,Transplants,1,transplants
9158,"Transvision Vamp",1,transvision-vamp
9159,"Trash Can Sinatras",25,trash-can-sinatras
9160,"Traste Lind&#233;ns Kvintett",23,traste-lind-233-ns-kvintett
9161,"Traveling Wilburys",18,traveling-wilburys
9162,"Travellin Strawberries",13,travellin-strawberries
