Artist URI|Artist Name|Album URI
65ewrL6LvcNGMMRVlksNGS|Dum Dum Girls|02bHncohpkYxdTHHzy34Y0
65ewrL6LvcNGMMRVlksNGS|Dum Dum Girls|0dQSwtXpsELZlFXDbUZMhD
65ewrL6LvcNGMMRVlksNGS|Dum Dum Girls|7G6zafrnA99W5rlnvmN3Yh
65ewrL6LvcNGMMRVlksNGS|Dum Dum Girls|6POoBBHkgw9ITJSb2SiHDC
65ewrL6LvcNGMMRVlksNGS|Dum Dum Girls|2jr6eZQu1NhJpEXupG7tBG
0lZoBs4Pzo7R89JM9lxwoT|Duran Duran|7qFxZadLn38oxBfHbxPg5o
0lZoBs4Pzo7R89JM9lxwoT|Duran Duran|2Pvbc55bvFduWqHUUWR0oP
0lZoBs4Pzo7R89JM9lxwoT|Duran Duran|5Mg8II19DRd8u88AJXt7zS
0lZoBs4Pzo7R89JM9lxwoT|Duran Duran|0WU0qRZDrNyHwOdjydC2bz
0lZoBs4Pzo7R89JM9lxwoT|Duran Duran|6qmPuUWbicNkG5pFftV81l
0lZoBs4Pzo7R89JM9lxwoT|Duran Duran|2Vc0Xye5VsrBhK2PIqMYdq
0lZoBs4Pzo7R89JM9lxwoT|Duran Duran|62GV3Divn33jdmGTbsAbI9
0lZoBs4Pzo7R89JM9lxwoT|Duran Duran|274KNZ7vvFdHHiCt9APKlP
0lZoBs4Pzo7R89JM9lxwoT|Duran Duran|5c7w1NIAVMDXI74c7swQp1
5TDKWyd5aI3qGguJ8mtrWw|The Earlies|076rqiVZiRrXfsnHG26qww
5TDKWyd5aI3qGguJ8mtrWw|The Earlies|13qIkd5nRoPeTRdnFOomZx
5TDKWyd5aI3qGguJ8mtrWw|The Earlies|6Nqn2I74CfD2qKmhZZm8y8
5TDKWyd5aI3qGguJ8mtrWw|The Earlies|5YLVlwgbdIdvu1K7GRCJXE
5TDKWyd5aI3qGguJ8mtrWw|The Earlies|7dQSg6na8YUHxgtmApXdvg
5TDKWyd5aI3qGguJ8mtrWw|The Earlies|3Rcg5bgAVOdkPfnogbyVqm
5TDKWyd5aI3qGguJ8mtrWw|The Earlies|5Xa7qMpovov3jTyIcCEQGy
4awU3JRQXIYoxabdwO92AU|Edie Brickell & New Bohemians|4m0JQ5kAj5VJ3MVGllA6Qr
